Назва, Адреса
Пункт незламності, вулиця Мазепи 11
Пункт незламності, вулиця Липинського 11
Пункт незламності, вулиця Кирилівська 3а
Пункт незламності, вулиця Шевченка 350а
Пункт незламності, вулиця Величковського 58
Пункт незламності, вулиця Кушевича 1
Пункт незламності, вулиця Пасічна 49б
Пункт незламності, вулиця Костя Левицького 67
Пункт незламності, проспект Червоної Калини 66
Пункт незламності, проспект Червоної Калини 38
Пункт незламності, проспект Червоної Калини 81
Пункт незламності, вулиця Стрийська 79
Пункт незламності, вулиця Володимира Великого 18
Пункт незламності, вулиця Генерала Чупринки 85
Пункт незламності, вулиця Софії Караффи-Корбут 10
Пункт незламності, вулиця Повітряна 20
Пункт незламності, вулиця Виговського 34
Пункт незламності, вулиця Широка 86Б
Пункт незламності, вулиця Городоцька 36
Пункт незламності, вулиця Ф. Ліста 1
Пункт незламності, вулиця Сербська 15